query_id,gold_episode_id,query_text,query_style
Q0001_shorttext,A16036_E016,ちくしょう。たまにはあの時みたいに私の愛を猛烈に欲してくれてもいいのに。もう！ 彼女とLINEしてば... この状況に近いエピソードはどれ？,shorttext
Q0001_comparison,A16036_E016,"状況はfamily, romantic_relationship / 嫉妬の構造はその他 / 嫉妬対象は愛情 / 比較の構図はself_vs_sibling。この条件に合うエピソードはどれ？",comparison
Q0001_distance_effort,A16036_E016,"心理的距離は近（家族・友人・同僚） / 状況はfamily, romantic_relationship / 根源は根源的嫉妬 / 努力介入は可能（努力で変えられる）。この条件に合うエピソードはどれ？",distance_effort
Q0001_behavior,A16036_E016,"比較の構図はself_vs_sibling / 状況はfamily, romantic_relationship / 嫉妬の構造はその他 / 行動パターンは行動化型。この条件に合うエピソードはどれ？",behavior
Q0002_shorttext,A17709_E007,「あんたなんて代官山に住んでたから付き合ったんだわ」「タカシみたいな喋り方してんのキモいよ」と言って... この状況に近いエピソードはどれ？,shorttext
Q0002_comparison,A17709_E007,比較の構図はself_vs_other / 嫉妬対象は経済力 / 状況はappearance / 嫉妬の構造は愛情独占型。この条件に合うエピソードはどれ？,comparison
Q0002_distance_effort,A17709_E007,状況はappearance / 根源は関係的嫉妬 / 努力介入は可能（努力で変えられる） / 心理的距離は中（知り合い・同業者）。この条件に合うエピソードはどれ？,distance_effort
Q0002_behavior,A17709_E007,嫉妬の構造は愛情独占型 / 状況はappearance / 行動パターンは内省・葛藤型 / 比較の構図はself_vs_other。この条件に合うエピソードはどれ？,behavior
Q0003_shorttext,A18219_E003,私だってできることならもっと楽観的に生きたい。クヨクヨうじうじ悩んでいたくない。気さくで、明るく楽し... この状況に近いエピソードはどれ？,shorttext
Q0003_comparison,A18219_E003,嫉妬対象は承認・評価 / 状況はcreative_activity / 嫉妬の構造はその他 / 比較の構図はself_vs_other。この条件に合うエピソードはどれ？,comparison
Q0003_distance_effort,A18219_E003,状況はcreative_activity / 心理的距離は中（知り合い・同業者） / 努力介入は可能（努力で変えられる） / 根源は関係的嫉妬。この条件に合うエピソードはどれ？,distance_effort
Q0003_behavior,A18219_E003,比較の構図はself_vs_other / 嫉妬の構造はその他 / 状況はcreative_activity / 行動パターンは内省・葛藤型。この条件に合うエピソードはどれ？,behavior
Q0004_shorttext,A16700_E030,こうしてエッセイストになった今、天才だと思っている人にも相変わらず嫉妬している自分を見て、心底うんざ... この状況に近いエピソードはどれ？,shorttext
Q0004_comparison,A16700_E030,"嫉妬の構造は承認競争型、不可侵領域型 / 嫉妬対象は承認・評価、能力 / 比較の構図はself_vs_other / 状況はromantic_relationship, creative_activity。この条件に合うエピソードはどれ？",comparison
Q0004_distance_effort,A16700_E030,"根源は関係的嫉妬 / 心理的距離は中（知り合い・同業者） / 状況はromantic_relationship, creative_activity / 努力介入は不可能（生まれつき・才能）。この条件に合うエピソードはどれ？",distance_effort
Q0004_behavior,A16700_E030,"行動パターンは内省・葛藤型 / 状況はromantic_relationship, creative_activity / 嫉妬の構造は承認競争型、不可侵領域型 / 比較の構図はself_vs_other。この条件に合うエピソードはどれ？",behavior
Q0005_shorttext,A19659_E004,ある日の深夜、私が諸々を片付けてドラマを見始めた頃、夫が帰宅してこう言い出した。 「あのさ。実は会社... この状況に近いエピソードはどれ？,shorttext
Q0005_comparison,A19659_E004,比較の構図はself_vs_other / 嫉妬の構造は愛情独占型 / 状況はworkplace / 嫉妬対象は愛情。この条件に合うエピソードはどれ？,comparison
Q0005_distance_effort,A19659_E004,努力介入は可能（努力で変えられる） / 状況はworkplace / 心理的距離は中（知り合い・同業者） / 根源は根源的嫉妬。この条件に合うエピソードはどれ？,distance_effort
Q0005_behavior,A19659_E004,比較の構図はself_vs_other / 嫉妬の構造は愛情独占型 / 行動パターンは内省・葛藤型 / 状況はworkplace。この条件に合うエピソードはどれ？,behavior
Q0006_shorttext,A19964_E010,嫉妬の感情を失う＝人生の推進力を失う？ この状況に近いエピソードはどれ？,shorttext
Q0006_comparison,A19964_E010,比較の構図はself_vs_other / 嫉妬の構造はその他 / 嫉妬対象は他者の優位性 / 状況はgeneral。この条件に合うエピソードはどれ？,comparison
Q0006_distance_effort,A19964_E010,心理的距離は中（知り合い・同業者） / 状況はgeneral / 努力介入は可能（努力で変えられる） / 根源は関係的嫉妬。この条件に合うエピソードはどれ？,distance_effort
Q0006_behavior,A19964_E010,嫉妬の構造はその他 / 行動パターンは内省・葛藤型 / 状況はgeneral / 比較の構図はself_vs_other。この条件に合うエピソードはどれ？,behavior
Q0007_shorttext,A16030_E010,こんなに嫉妬深い人間が他にいるだろうか？ この状況に近いエピソードはどれ？,shorttext
Q0007_comparison,A16030_E010,嫉妬対象は他者の優位性 / 比較の構図はself_vs_other / 状況はsocial_media / 嫉妬の構造はゼロサムゲーム型。この条件に合うエピソードはどれ？,comparison
Q0007_distance_effort,A16030_E010,努力介入は可能（努力で変えられる） / 根源は関係的嫉妬 / 心理的距離は中（知り合い・同業者） / 状況はsocial_media。この条件に合うエピソードはどれ？,distance_effort
Q0007_behavior,A16030_E010,比較の構図はself_vs_other / 嫉妬の構造はゼロサムゲーム型 / 行動パターンは内省・葛藤型 / 状況はsocial_media。この条件に合うエピソードはどれ？,behavior
Q0008_shorttext,A16840_E034,嫉妬するということは「超えたい」という気持ちを生み、原動力にもなります。それがあったからここまで来ら... この状況に近いエピソードはどれ？,shorttext
Q0008_comparison,A16840_E034,比較の構図はself_vs_other / 嫉妬の構造はその他 / 状況はcreative_activity / 嫉妬対象は承認・評価。この条件に合うエピソードはどれ？,comparison
Q0008_distance_effort,A16840_E034,状況はcreative_activity / 努力介入は可能（努力で変えられる） / 根源は根源的嫉妬 / 心理的距離は中（知り合い・同業者）。この条件に合うエピソードはどれ？,distance_effort
Q0008_behavior,A16840_E034,嫉妬の構造はその他 / 状況はcreative_activity / 比較の構図はself_vs_other / 行動パターンは昇華型。この条件に合うエピソードはどれ？,behavior
Q0009_shorttext,A19964_E015,私が目指している「嫉妬しない人」の正体 この状況に近いエピソードはどれ？,shorttext
Q0009_comparison,A19964_E015,嫉妬の構造はその他 / 比較の構図はself_vs_other / 状況はcreative_activity / 嫉妬対象は承認・評価。この条件に合うエピソードはどれ？,comparison
Q0009_distance_effort,A19964_E015,状況はcreative_activity / 心理的距離は中（知り合い・同業者） / 努力介入は可能（努力で変えられる） / 根源は関係的嫉妬。この条件に合うエピソードはどれ？,distance_effort
Q0009_behavior,A19964_E015,嫉妬の構造はその他 / 状況はcreative_activity / 行動パターンは内省・葛藤型 / 比較の構図はself_vs_other。この条件に合うエピソードはどれ？,behavior
Q0010_shorttext,A18132_E003,彼女たちが人形を買ってもらえること、数日で一番大事な髪を禿げさせたこと、それを気にもせずすぐに次のオ... この状況に近いエピソードはどれ？,shorttext
Q0010_comparison,A18132_E003,"嫉妬対象は承認・評価、愛情 / 状況はfamily, romantic_relationship, creative_activity / 嫉妬の構造はゼロサムゲーム型 / 比較の構図はself_vs_parent。この条件に合うエピソードはどれ？",comparison
Q0010_distance_effort,A18132_E003,"根源は根源的嫉妬 / 努力介入は可能（努力で変えられる） / 心理的距離は近（家族・友人・同僚） / 状況はfamily, romantic_relationship, creative_activity。この条件に合うエピソードはどれ？",distance_effort
Q0010_behavior,A18132_E003,"行動パターンは内省・葛藤型 / 嫉妬の構造はゼロサムゲーム型 / 比較の構図はself_vs_parent / 状況はfamily, romantic_relationship, creative_activity。この条件に合うエピソードはどれ？",behavior
Q0011_shorttext,A16925_E002,自虐で笑わせようと必死なのが透けて見えてしまっている私の投稿は今日もどん滑りしていて半日で1300ビ... この状況に近いエピソードはどれ？,shorttext
Q0011_comparison,A16925_E002,"状況はsocial_media, romantic_relationship, creative_activity / 嫉妬の構造は承認競争型 / 比較の構図はself_vs_other / 嫉妬対象は承認・評価、愛情。この条件に合うエピソードはどれ？",comparison
Q0011_distance_effort,A16925_E002,"根源は関係的嫉妬 / 努力介入は可能（努力で変えられる） / 心理的距離は中（知り合い・同業者） / 状況はsocial_media, romantic_relationship, creative_activity。この条件に合うエピソードはどれ？",distance_effort
Q0011_behavior,A16925_E002,"嫉妬の構造は承認競争型 / 比較の構図はself_vs_other / 行動パターンは内省・葛藤型 / 状況はsocial_media, romantic_relationship, creative_activity。この条件に合うエピソードはどれ？",behavior
Q0012_shorttext,A17138_E004,自宅へ遊びに行った際、彼女たちが高級ブラシでツヤツヤな髪を梳かしながら大人のような口調で韓流アイドル... この状況に近いエピソードはどれ？,shorttext
Q0012_comparison,A17138_E004,"比較の構図はself_vs_friend / 嫉妬対象は愛情、経済力 / 嫉妬の構造はその他 / 状況はromantic_relationship, friendship。この条件に合うエピソードはどれ？",comparison
Q0012_distance_effort,A17138_E004,"努力介入は可能（努力で変えられる） / 心理的距離は近（家族・友人・同僚） / 状況はromantic_relationship, friendship / 根源は関係的嫉妬。この条件に合うエピソードはどれ？",distance_effort
Q0012_behavior,A17138_E004,"行動パターンは内省・葛藤型 / 比較の構図はself_vs_friend / 嫉妬の構造はその他 / 状況はromantic_relationship, friendship。この条件に合うエピソードはどれ？",behavior
Q0013_shorttext,A16030_E026,私だって誰かれかまわず万物に嫉妬をしているわけでもない。 この状況に近いエピソードはどれ？,shorttext
Q0013_comparison,A16030_E026,"嫉妬の構造は美人資本型 / 嫉妬対象は容姿、愛情 / 比較の構図はself_vs_other / 状況はromantic_relationship, creative_activity, appearance。この条件に合うエピソードはどれ？",comparison
Q0013_distance_effort,A16030_E026,"努力介入は不可能（生まれつき・才能） / 心理的距離は中（知り合い・同業者） / 根源は根源的嫉妬 / 状況はromantic_relationship, creative_activity, appearance。この条件に合うエピソードはどれ？",distance_effort
Q0013_behavior,A16030_E026,"嫉妬の構造は美人資本型 / 状況はromantic_relationship, creative_activity, appearance / 行動パターンは内省・葛藤型 / 比較の構図はself_vs_other。この条件に合うエピソードはどれ？",behavior
Q0014_shorttext,A18132_E001,本物のリカちゃんを持っている彼女たちが羨ましかった。 この状況に近いエピソードはどれ？,shorttext
Q0014_comparison,A18132_E001,"嫉妬対象は承認・評価、愛情 / 嫉妬の構造はその他 / 状況はromantic_relationship, creative_activity / 比較の構図はself_vs_other。この条件に合うエピソードはどれ？",comparison
Q0014_distance_effort,A18132_E001,"状況はromantic_relationship, creative_activity / 心理的距離は中（知り合い・同業者） / 根源は関係的嫉妬 / 努力介入は可能（努力で変えられる）。この条件に合うエピソードはどれ？",distance_effort
Q0014_behavior,A18132_E001,"比較の構図はself_vs_other / 行動パターンは内省・葛藤型 / 嫉妬の構造はその他 / 状況はromantic_relationship, creative_activity。この条件に合うエピソードはどれ？",behavior
Q0015_shorttext,A16276_E020,スマホさえ持っていれば、無限に嫉妬し放題 この状況に近いエピソードはどれ？,shorttext
Q0015_comparison,A16276_E020,"比較の構図はself_vs_other / 嫉妬の構造はその他 / 嫉妬対象は承認・評価 / 状況はsocial_media, creative_activity。この条件に合うエピソードはどれ？",comparison
Q0015_distance_effort,A16276_E020,"心理的距離は中（知り合い・同業者） / 根源は関係的嫉妬 / 努力介入は可能（努力で変えられる） / 状況はsocial_media, creative_activity。この条件に合うエピソードはどれ？",distance_effort
Q0015_behavior,A16276_E020,"比較の構図はself_vs_other / 嫉妬の構造はその他 / 行動パターンは抑制型 / 状況はsocial_media, creative_activity。この条件に合うエピソードはどれ？",behavior
Q0016_shorttext,A16700_E021,私は今、知り合いのエッセイストの「新刊が出ます」のお知らせが世界で一番嫌いだ。 この状況に近いエピソードはどれ？,shorttext
Q0016_comparison,A16700_E021,"比較の構図はself_vs_other / 嫉妬対象は能力、愛情 / 嫉妬の構造はゼロサムゲーム型 / 状況はworkplace, romantic_relationship, creative_activity。この条件に合うエピソードはどれ？",comparison
Q0016_distance_effort,A16700_E021,"努力介入は可能（努力で変えられる） / 心理的距離は中（知り合い・同業者） / 根源は関係的嫉妬 / 状況はworkplace, romantic_relationship, creative_activity。この条件に合うエピソードはどれ？",distance_effort
Q0016_behavior,A16700_E021,"嫉妬の構造はゼロサムゲーム型 / 行動パターンは内省・葛藤型 / 比較の構図はself_vs_other / 状況はworkplace, romantic_relationship, creative_activity。この条件に合うエピソードはどれ？",behavior
Q0017_shorttext,A18023_E007,それなのになぜこんなに東京が羨ましいのだろう？ この状況に近いエピソードはどれ？,shorttext
Q0017_comparison,A18023_E007,"比較の構図はself_vs_other / 状況はworkplace, creative_activity / 嫉妬対象は承認・評価、容姿 / 嫉妬の構造は美人資本型。この条件に合うエピソードはどれ？",comparison
Q0017_distance_effort,A18023_E007,"状況はworkplace, creative_activity / 努力介入は可能（努力で変えられる） / 根源は関係的嫉妬 / 心理的距離は遠（有名人・概念）。この条件に合うエピソードはどれ？",distance_effort
Q0017_behavior,A18023_E007,"比較の構図はself_vs_other / 行動パターンは内省・葛藤型 / 状況はworkplace, creative_activity / 嫉妬の構造は美人資本型。この条件に合うエピソードはどれ？",behavior
Q0018_shorttext,A16840_E004,だから「自分の嫉妬は自分だけのもの」という感じがして。それは自分の本質や真実を映し出す、逆さまになっ... この状況に近いエピソードはどれ？,shorttext
Q0018_comparison,A16840_E004,状況はcreative_activity / 比較の構図はself_vs_other / 嫉妬対象は承認・評価 / 嫉妬の構造はその他。この条件に合うエピソードはどれ？,comparison
Q0018_distance_effort,A16840_E004,根源は関係的嫉妬 / 心理的距離は中（知り合い・同業者） / 状況はcreative_activity / 努力介入は可能（努力で変えられる）。この条件に合うエピソードはどれ？,distance_effort
Q0018_behavior,A16840_E004,状況はcreative_activity / 嫉妬の構造はその他 / 行動パターンは抑制型 / 比較の構図はself_vs_other。この条件に合うエピソードはどれ？,behavior
Q0019_shorttext,A17458_E006,髪が直毛だったら、肌が白かったら、背が低かったら……。こんな遺伝子をよこした親を呪った。 この状況に近いエピソードはどれ？,shorttext
Q0019_comparison,A17458_E006,"嫉妬対象は承認・評価、容姿 / 嫉妬の構造は美人資本型、不可侵領域型 / 状況はcreative_activity, appearance / 比較の構図はself_vs_other。この条件に合うエピソードはどれ？",comparison
Q0019_distance_effort,A17458_E006,"努力介入は不可能（生まれつき・才能） / 根源は関係的嫉妬 / 心理的距離は中（知り合い・同業者） / 状況はcreative_activity, appearance。この条件に合うエピソードはどれ？",distance_effort
Q0019_behavior,A17458_E006,"状況はcreative_activity, appearance / 嫉妬の構造は美人資本型、不可侵領域型 / 比較の構図はself_vs_other / 行動パターンは攻撃・模倣型。この条件に合うエピソードはどれ？",behavior
Q0020_shorttext,A16030_E024,もし誰にも何にも嫉妬することがなくなったら、それって私なんだろうか？ この状況に近いエピソードはどれ？,shorttext
Q0020_comparison,A16030_E024,嫉妬の構造はその他 / 状況はgeneral / 比較の構図はself_vs_other / 嫉妬対象は愛情。この条件に合うエピソードはどれ？,comparison
Q0020_distance_effort,A16030_E024,心理的距離は中（知り合い・同業者） / 努力介入は可能（努力で変えられる） / 根源は根源的嫉妬 / 状況はgeneral。この条件に合うエピソードはどれ？,distance_effort
Q0020_behavior,A16030_E024,比較の構図はself_vs_other / 嫉妬の構造はその他 / 状況はgeneral / 行動パターンは内省・葛藤型。この条件に合うエピソードはどれ？,behavior
Q0021_shorttext,A19964_E006,SNSのアカウントを見ると、送り主のSさん（仮名）は都内に住む２人の子どもがいる３０代前半の母親のよ... この状況に近いエピソードはどれ？,shorttext
Q0021_comparison,A19964_E006,"嫉妬対象は他者の優位性 / 比較の構図はself_vs_parent / 嫉妬の構造はゼロサムゲーム型、不可侵領域型 / 状況はsocial_media, family。この条件に合うエピソードはどれ？",comparison
Q0021_distance_effort,A19964_E006,"心理的距離は近（家族・友人・同僚） / 根源は根源的嫉妬 / 状況はsocial_media, family / 努力介入は不可能（生まれつき・才能）。この条件に合うエピソードはどれ？",distance_effort
Q0021_behavior,A19964_E006,"行動パターンは内省・葛藤型 / 状況はsocial_media, family / 嫉妬の構造はゼロサムゲーム型、不可侵領域型 / 比較の構図はself_vs_parent。この条件に合うエピソードはどれ？",behavior
Q0022_shorttext,A16700_E010,数ヵ月後のある日、彼女が「お知らせがあります」とSNSで珍しくしっかりした告知をした。あの時の心臓の... この状況に近いエピソードはどれ？,shorttext
Q0022_comparison,A16700_E010,"状況はsocial_media, romantic_relationship, creative_activity / 嫉妬対象は承認・評価、愛情 / 比較の構図はself_vs_other / 嫉妬の構造はその他。この条件に合うエピソードはどれ？",comparison
Q0022_distance_effort,A16700_E010,"努力介入は可能（努力で変えられる） / 状況はsocial_media, romantic_relationship, creative_activity / 心理的距離は中（知り合い・同業者） / 根源は関係的嫉妬。この条件に合うエピソードはどれ？",distance_effort
Q0022_behavior,A16700_E010,"嫉妬の構造はその他 / 状況はsocial_media, romantic_relationship, creative_activity / 比較の構図はself_vs_other / 行動パターンは内省・葛藤型。この条件に合うエピソードはどれ？",behavior
Q0023_shorttext,A16030_E004,それに比べて私は、本をまだ1冊しか出せていないし、彼女よりフォロワーも人気も少ない。なんだか「いいね... この状況に近いエピソードはどれ？,shorttext
Q0023_comparison,A16030_E004,"嫉妬の構造は承認競争型 / 状況はsocial_media, romantic_relationship, creative_activity / 比較の構図はself_vs_other / 嫉妬対象は承認・評価、愛情。この条件に合うエピソードはどれ？",comparison
Q0023_distance_effort,A16030_E004,"状況はsocial_media, romantic_relationship, creative_activity / 心理的距離は中（知り合い・同業者） / 根源は関係的嫉妬 / 努力介入は可能（努力で変えられる）。この条件に合うエピソードはどれ？",distance_effort
Q0023_behavior,A16030_E004,"状況はsocial_media, romantic_relationship, creative_activity / 嫉妬の構造は承認競争型 / 行動パターンは内省・葛藤型 / 比較の構図はself_vs_other。この条件に合うエピソードはどれ？",behavior
Q0024_shorttext,A19005_E013,アメリカの心理学者、デイビッド・M・バスは自身の著書や記事で男性の恋愛における嫉妬についてこう論じて... この状況に近いエピソードはどれ？,shorttext
Q0024_comparison,A19005_E013,"比較の構図はself_vs_other / 嫉妬対象は愛情 / 状況はworkplace, romantic_relationship / 嫉妬の構造はその他。この条件に合うエピソードはどれ？",comparison
Q0024_distance_effort,A19005_E013,"状況はworkplace, romantic_relationship / 心理的距離は中（知り合い・同業者） / 根源は根源的嫉妬 / 努力介入は可能（努力で変えられる）。この条件に合うエピソードはどれ？",distance_effort
Q0024_behavior,A19005_E013,"嫉妬の構造はその他 / 状況はworkplace, romantic_relationship / 比較の構図はself_vs_other / 行動パターンは内省・葛藤型。この条件に合うエピソードはどれ？",behavior
Q0025_shorttext,A17458_E018,美しさへの嫉妬に加えて異性の目や恋愛が絡むと、それはもう憎しみに近いものに変わる。 この状況に近いエピソードはどれ？,shorttext
Q0025_comparison,A17458_E018,"嫉妬の構造はゼロサムゲーム型、美人資本型 / 比較の構図はself_vs_other / 嫉妬対象は容姿、愛情 / 状況はworkplace, romantic_relationship。この条件に合うエピソードはどれ？",comparison
Q0025_distance_effort,A17458_E018,"努力介入は不可能（生まれつき・才能） / 心理的距離は遠（有名人・概念） / 根源は根源的嫉妬 / 状況はworkplace, romantic_relationship。この条件に合うエピソードはどれ？",distance_effort
Q0025_behavior,A17458_E018,"行動パターンは攻撃・模倣型 / 嫉妬の構造はゼロサムゲーム型、美人資本型 / 比較の構図はself_vs_other / 状況はworkplace, romantic_relationship。この条件に合うエピソードはどれ？",behavior
Q0026_shorttext,A16840_E011,オーストラリアの人類学者ガッサン・ハージが「移動性への妬み」と呼ぶ現象があります この状況に近いエピソードはどれ？,shorttext
Q0026_comparison,A16840_E011,状況はcreative_activity / 嫉妬対象は承認・評価 / 比較の構図はself_vs_other / 嫉妬の構造はその他。この条件に合うエピソードはどれ？,comparison
Q0026_distance_effort,A16840_E011,心理的距離は中（知り合い・同業者） / 努力介入は可能（努力で変えられる） / 根源は関係的嫉妬 / 状況はcreative_activity。この条件に合うエピソードはどれ？,distance_effort
Q0026_behavior,A16840_E011,行動パターンは内省・葛藤型 / 状況はcreative_activity / 比較の構図はself_vs_other / 嫉妬の構造はその他。この条件に合うエピソードはどれ？,behavior
Q0027_shorttext,A16030_E015,社会人になればどの職場でも、仕事で自分の能力を認められたい、ライバルには絶対に負けたくないと思ってい... この状況に近いエピソードはどれ？,shorttext
Q0027_comparison,A16030_E015,"比較の構図はself_vs_friend / 嫉妬の構造はゼロサムゲーム型、承認競争型 / 状況はworkplace, romantic_relationship, friendship / 嫉妬対象は承認・評価、能力。この条件に合うエピソードはどれ？",comparison
Q0027_distance_effort,A16030_E015,"心理的距離は近（家族・友人・同僚） / 状況はworkplace, romantic_relationship, friendship / 努力介入は可能（努力で変えられる） / 根源は関係的嫉妬。この条件に合うエピソードはどれ？",distance_effort
Q0027_behavior,A16030_E015,"嫉妬の構造はゼロサムゲーム型、承認競争型 / 状況はworkplace, romantic_relationship, friendship / 行動パターンは攻撃・模倣型 / 比較の構図はself_vs_friend。この条件に合うエピソードはどれ？",behavior
Q0028_shorttext,A17709_E009,SNSを眺めては、東京だったらもっと書く仕事もあるはずなのに。もっとイベントに呼ばれるかもしれないの... この状況に近いエピソードはどれ？,shorttext
Q0028_comparison,A17709_E009,"比較の構図はself_vs_other / 状況はworkplace, social_media, creative_activity / 嫉妬対象は容姿 / 嫉妬の構造は美人資本型。この条件に合うエピソードはどれ？",comparison
Q0028_distance_effort,A17709_E009,"心理的距離は中（知り合い・同業者） / 状況はworkplace, social_media, creative_activity / 根源は関係的嫉妬 / 努力介入は可能（努力で変えられる）。この条件に合うエピソードはどれ？",distance_effort
Q0028_behavior,A17709_E009,"嫉妬の構造は美人資本型 / 比較の構図はself_vs_other / 行動パターンは内省・葛藤型 / 状況はworkplace, social_media, creative_activity。この条件に合うエピソードはどれ？",behavior
Q0029_shorttext,A17458_E021,努力していないはず、どこかに欠点があるはずと粗探しをし、引きずりおろそうとしてしまう。 この状況に近いエピソードはどれ？,shorttext
Q0029_comparison,A17458_E021,嫉妬の構造はゼロサムゲーム型 / 状況はgeneral / 嫉妬対象は他者の優位性 / 比較の構図はself_vs_other。この条件に合うエピソードはどれ？,comparison
Q0029_distance_effort,A17458_E021,心理的距離は中（知り合い・同業者） / 根源は根源的嫉妬 / 状況はgeneral / 努力介入は可能（努力で変えられる）。この条件に合うエピソードはどれ？,distance_effort
Q0029_behavior,A17458_E021,嫉妬の構造はゼロサムゲーム型 / 行動パターンは昇華型 / 比較の構図はself_vs_other / 状況はgeneral。この条件に合うエピソードはどれ？,behavior
Q0030_shorttext,A16030_E009,私は嫉妬に取り憑かれている。朝起きて一番最初にすることが、SNSを見て誰かに嫉妬をすることだなんて我... この状況に近いエピソードはどれ？,shorttext
Q0030_comparison,A16030_E009,"比較の構図はself_vs_other / 嫉妬対象は承認・評価、愛情 / 状況はsocial_media, romantic_relationship / 嫉妬の構造はゼロサムゲーム型、承認競争型。この条件に合うエピソードはどれ？",comparison
Q0030_distance_effort,A16030_E009,"努力介入は可能（努力で変えられる） / 状況はsocial_media, romantic_relationship / 心理的距離は中（知り合い・同業者） / 根源は関係的嫉妬。この条件に合うエピソードはどれ？",distance_effort
Q0030_behavior,A16030_E009,"行動パターンは内省・葛藤型 / 嫉妬の構造はゼロサムゲーム型、承認競争型 / 状況はsocial_media, romantic_relationship / 比較の構図はself_vs_other。この条件に合うエピソードはどれ？",behavior
Q0031_shorttext,A18808_E005,幸せそうな他人を見ると、自分と比べて嫉妬をしてしまう。 この状況に近いエピソードはどれ？,shorttext
Q0031_comparison,A18808_E005,嫉妬の構造はゼロサムゲーム型 / 比較の構図はself_vs_other / 嫉妬対象は承認・評価 / 状況はcreative_activity。この条件に合うエピソードはどれ？,comparison
Q0031_distance_effort,A18808_E005,努力介入は可能（努力で変えられる） / 状況はcreative_activity / 根源は関係的嫉妬 / 心理的距離は遠（有名人・概念）。この条件に合うエピソードはどれ？,distance_effort
Q0031_behavior,A18808_E005,行動パターンは内省・葛藤型 / 状況はcreative_activity / 比較の構図はself_vs_other / 嫉妬の構造はゼロサムゲーム型。この条件に合うエピソードはどれ？,behavior
Q0032_shorttext,A18808_E011,「あいつだけいい思いしやがって」と村八分にされる、独特のジメジメ感がある。 この状況に近いエピソードはどれ？,shorttext
Q0032_comparison,A18808_E011,状況はcreative_activity / 嫉妬の構造はその他 / 比較の構図はself_vs_other / 嫉妬対象は承認・評価。この条件に合うエピソードはどれ？,comparison
Q0032_distance_effort,A18808_E011,努力介入は可能（努力で変えられる） / 根源は関係的嫉妬 / 状況はcreative_activity / 心理的距離は中（知り合い・同業者）。この条件に合うエピソードはどれ？,distance_effort
Q0032_behavior,A18808_E011,比較の構図はself_vs_other / 嫉妬の構造はその他 / 行動パターンは攻撃・模倣型 / 状況はcreative_activity。この条件に合うエピソードはどれ？,behavior
Q0033_shorttext,A16700_E004,歌はめっちゃうまい。でも和泉はけしからん この状況に近いエピソードはどれ？,shorttext
Q0033_comparison,A16700_E004,比較の構図はself_vs_other / 嫉妬対象は承認・評価、能力 / 嫉妬の構造は愛情独占型 / 状況はcreative_activity。この条件に合うエピソードはどれ？,comparison
Q0033_distance_effort,A16700_E004,努力介入は可能（努力で変えられる） / 状況はcreative_activity / 根源は根源的嫉妬 / 心理的距離は中（知り合い・同業者）。この条件に合うエピソードはどれ？,distance_effort
Q0033_behavior,A16700_E004,比較の構図はself_vs_other / 状況はcreative_activity / 行動パターンは攻撃・模倣型 / 嫉妬の構造は愛情独占型。この条件に合うエピソードはどれ？,behavior
